. ,FLAG_NM,CRTFC_NO_CN,AREA_NM,SAFE_CNSDR_ACT_AT,AGE_9_12,AGE_13_15,AGE_16_18,AGE_19_24,AGE_ETC,총 참여 인원,PROGRM_NM,INSTT_NM,VALID_PD_BEGIN_DE,VALID_PD_END_DE,OPER_STATE_NM,ADDR
1,활동,0249B06B-09547,부산광역시,N,0,10,0,0,0,10,나는야 모듬북 봉사단,부산중구청소년문화의집,2020-07-22,2026-07-21,인증,부산 중구 보수동2가 64-1번지
2,개별,5070G01C-MD0591,경상북도,N,0,0,300,0,0,300,화랑 운동회(고등학교),경주시 화랑마을,2020-07-22,2026-07-21,인증,경상북도 경주시 석현로 123 (석장동) 화백관 2층 수련활동팀
3,활동,5070F07A-09514,경상북도,N,300,0,0,0,0,300,화랑도 통일 체험활동(초등학교 2박3일),경주시 화랑마을,2020-07-22,2026-07-21,인증,경상북도 경주시 석현로 123 (석장동) 화백관 2층 수련활동팀
4,활동,5070D08B-09448,경상북도,N,0,150,0,0,0,150,잡(JOB)학다식 양성소,경주시 화랑마을,2020-06-24,2026-06-23,인증,경상북도 경주시 석현로 123 (석장동) 화백관 2층 수련활동팀
5,개별,5070G01A-MD0583,경상북도,N,300,0,0,0,0,300,화랑 운동회(초등학교),경주시 화랑마을,2020-06-24,2026-06-23,인증,경상북도 경주시 석현로 123 (석장동) 화백관 2층 수련활동팀
6,개별,0928G01A-MD0570,전라북도,N,360,0,0,0,0,360,사계절 썰매(초등학교),청정청소년수련원(청정테마힐링센터),2020-05-27,2026-05-26,인증,전북 완주군 구이면 장미로 31
7,활동,5211A04B-09405,경상남도,N,0,120,0,0,0,120,지금까지 이런 익사이팅은 없었다!,(주)지랜드,2020-05-27,2026-05-26,인증,경상남도 김해시 가야테마길 161 (어방동) 가야테마파크내
8,개별,0928G01B-MD0571,전라북도,N,0,360,0,0,0,360,사계절 썰매(중학교),청정청소년수련원(청정테마힐링센터),2020-05-27,2026-05-26,인증,전북 완주군 구이면 장미로 31
9,개별,0928G01C-MD0572,전라북도,N,0,0,360,0,0,360,사계절 썰매(고등학교),청정청소년수련원(청정테마힐링센터),2020-05-27,2026-05-26,인증,전북 완주군 구이면 장미로 31
10,활동,0018A07B-09980,전라북도,N,0,60,0,0,0,60,"하이-파이브, Go! (중학교)",임실군청소년수련원,2021-05-26,2026-05-25,인증,전북 임실군 관촌면 덕천리 481-10번지
11,활동,0967F09A-09982,충청남도,N,150,0,0,0,0,150,우리들의 녹색이야기(초등학교 1박2일),군포시청소년수련원,2021-05-26,2026-05-25,인증,충청남도 청양군 화성면 정자골길 100-43 군포시청소년수련원
12,활동,1866A07C-09248,경상남도,N,0,0,96,0,0,96,소통~GO통!!(고등학교),창원시 진해청소년야영장,2020-04-29,2026-04-28,인증,경상남도 창원시 진해구 천자로 484 (풍호동) 창원시 진해청소년야영장
13,활동,0561B07C-09272,대구광역시,N,0,0,20,0,0,20,기본이 중요해 (영상편집 기초),대구광역시달서구청소년수련관,2020-04-29,2026-04-28,인증,대구광역시 달서구 상화로 420 (상인동) 대구광역시달서구청소년수련관
14,활동,0561A09A-09271,대구광역시,N,20,0,0,0,0,20,chapter 1 지구를 지켜라,대구광역시달서구청소년수련관,2020-04-29,2026-04-28,인증,대구광역시 달서구 상화로 420 (상인동) 대구광역시달서구청소년수련관
15,활동,1866A07B-09247,경상남도,N,0,96,0,0,0,96,소통~GO통!!(중학교),창원시 진해청소년야영장,2020-04-29,2026-04-28,인증,경상남도 창원시 진해구 천자로 484 (풍호동) 창원시 진해청소년야영장
16,활동,1866A07B-09288,경상남도,N,0,96,0,0,0,96,(소)통하는 리더를 찾아라!(중학교),창원시 진해청소년야영장,2020-04-29,2026-04-28,인증,경상남도 창원시 진해구 천자로 484 (풍호동) 창원시 진해청소년야영장
17,활동,0561A07B-09273,대구광역시,N,0,20,0,0,0,20,단서를 기억해줘,대구광역시달서구청소년수련관,2020-04-29,2026-04-28,인증,대구광역시 달서구 상화로 420 (상인동) 대구광역시달서구청소년수련관
18,활동,1866A07C-09289,경상남도,N,0,0,96,0,0,96,(소)통하는 리더를 찾아라!(고등학교),창원시 진해청소년야영장,2020-04-29,2026-04-28,인증,경상남도 창원시 진해구 천자로 484 (풍호동) 창원시 진해청소년야영장
19,개별,0018G01A-MD0657,전라북도,N,100,0,0,0,0,100,도전 99초,임실군청소년수련원,2021-04-28,2026-04-27,인증,전북 임실군 관촌면 덕천리 481-10번지
20,개별,0018G02A-MD0658,전라북도,N,50,0,0,0,0,50,4D 슈퍼프레임,임실군청소년수련원,2021-04-28,2026-04-27,인증,전북 임실군 관촌면 덕천리 481-10번지
21,활동,0561A07F-09143,대구광역시,N,0,10,10,0,0,20,너두? 야 나두 그릴 수 있어!,대구광역시달서구청소년수련관,2020-04-01,2026-03-31,인증,대구광역시 달서구 상화로 420 (상인동) 대구광역시달서구청소년수련관
22,활동,0390B07B-09171,경상남도,N,0,30,0,0,0,30,청소년인성교육 '인성아 놀자',(재)김해시복지재단 김해시청소년수련관,2020-04-01,2026-03-31,인증,경상남도 김해시 진영읍 김해대로 257 김해시청소년수련관
23,활동,1536F07B-09222,전라남도,Y,0,270,0,0,0,270,우리들의 행복한 시간(중학교 1박2일),전라남도청소년수련원,2020-04-01,2026-03-31,인증,전라남도 완도군 군외면 삼두1길 215 전라남도청소년수련원
24,개별,3260G02B-MD0534,경상북도,N,0,200,0,0,0,200,반딧불이천문대 체험(중학교),영양군청소년수련원,2020-04-01,2026-03-31,인증,경상북도 영양군 수비면 반딧불이로 227 영양군청소년수련원
25,개별,3260G02C-MD0535,경상북도,N,0,0,200,0,0,200,반딧불이천문대 체험(고등학교),영양군청소년수련원,2020-04-01,2026-03-31,인증,경상북도 영양군 수비면 반딧불이로 227 영양군청소년수련원
26,활동,1536F07B-09223,전라남도,Y,0,390,0,0,0,390,나눔의온도 37.5도(중학교 2박3일),전라남도청소년수련원,2020-04-01,2026-03-31,인증,전라남도 완도군 군외면 삼두1길 215 전라남도청소년수련원
27,활동,0390A02A-09168,경상남도,N,20,0,0,0,0,20,봄철 별자리 천체관측,(재)김해시복지재단 김해시청소년수련관,2020-04-01,2026-03-31,인증,경상남도 김해시 진영읍 김해대로 257 김해시청소년수련관
28,개별,3260G02A-MD0533,경상북도,N,200,0,0,0,0,200,반딧불이천문대 체험(초등학교),영양군청소년수련원,2020-04-01,2026-03-31,인증,경상북도 영양군 수비면 반딧불이로 227 영양군청소년수련원
29,활동,0390A01A-09134,경상남도,N,10,0,0,0,0,10,도전 스케이트 보드(초등학교),(재)김해시복지재단 김해시청소년수련관,2020-04-01,2026-03-31,인증,경상남도 김해시 진영읍 김해대로 257 김해시청소년수련관
30,활동,0390A05A-09169,경상남도,N,20,0,0,0,0,20,우리지역 역사 탐험단(밀양 표충사편),(재)김해시복지재단 김해시청소년수련관,2020-04-01,2026-03-31,인증,경상남도 김해시 진영읍 김해대로 257 김해시청소년수련관
31,활동,3301B06F-09151,서울특별시,N,10,5,5,0,0,20,청소년멘토링프로그램 LEVEL UP!,망원청소년문화센터,2020-04-01,2026-03-31,인증,서울특별시 마포구 망원동 451-1
32,활동,0613F07A-09234,경기도,N,400,0,0,0,0,400,한마음? 한마음! (초등학교 1박2일),한마음청소년수련원,2020-04-01,2026-03-31,인증,경기도 양주시 어둔동 버들로 147-142 천주교의정부제5교구한마음연수원 한마음청소년수련원
33,활동,0390A01A-09170,경상남도,N,15,0,0,0,0,15,"유소년 축구교실 ""FC 유스""",(재)김해시복지재단 김해시청소년수련관,2020-04-01,2026-03-31,인증,경상남도 김해시 진영읍 김해대로 257 김해시청소년수련관
34,활동,5070D01A-09888,경상북도,N,66,0,0,0,0,66,신화랑 국궁캠프(신궁캠프),경주시 화랑마을,2021-03-31,2026-03-30,인증,경상북도 경주시 석현로 123 (석장동) 화백관 2층 수련활동팀
35,활동,5070F07C-09887,경상북도,N,0,0,300,0,0,300,화랑도 통일 체험활동(고등학교 2박3일),경주시 화랑마을,2021-03-31,2026-03-30,인증,경상북도 경주시 석현로 123 (석장동) 화백관 2층 수련활동팀
36,개별,3260G04A-MD0456,경상북도,N,100,0,0,0,0,100,챌린지 타운(초등학교),영양군청소년수련원,2020-03-04,2026-03-03,인증,경상북도 영양군 수비면 반딧불이로 227 영양군청소년수련원
37,활동,0263F04B-09109,충청남도,Y,0,400,0,0,0,400,꿈박꼭질(중학교 2박3일),마달피삼육청소년수련원,2020-03-04,2026-03-03,인증,충남 금산군 제원면 용화리 74-2
38,개별,3260G04B-MD0454,경상북도,N,0,100,0,0,0,100,미션 오리엔티어링(중학교),영양군청소년수련원,2020-03-04,2026-03-03,인증,경상북도 영양군 수비면 반딧불이로 227 영양군청소년수련원
39,활동,1536F07B-09130,전라남도,Y,0,270,0,0,0,270,우리 함께 행복나누기(중학교 1박2일),전라남도청소년수련원,2020-03-04,2026-03-03,인증,전라남도 완도군 군외면 삼두1길 215 전라남도청소년수련원
40,활동,1536F07C-09133,전라남도,Y,0,0,390,0,0,390,우리 함께 키(key)우리 (고등학교 2박3일),전라남도청소년수련원,2020-03-04,2026-03-03,인증,전라남도 완도군 군외면 삼두1길 215 전라남도청소년수련원
41,활동,0263F04C-09110,충청남도,Y,0,0,400,0,0,400,꿈박꼭질(고등학교 2박 3일),마달피삼육청소년수련원,2020-03-04,2026-03-03,인증,충남 금산군 제원면 용화리 74-2
42,활동,1866D07C-09065,경상남도,N,0,0,96,0,0,96,리더십 캠프! 소통의 기술!!(고등학교 1박2일),창원시 진해청소년야영장,2020-03-04,2026-03-03,인증,경상남도 창원시 진해구 천자로 484 (풍호동) 창원시 진해청소년야영장
43,개별,3260G04C-MD0455,경상북도,N,0,0,100,0,0,100,미션 오리엔티어링(고등학교),영양군청소년수련원,2020-03-04,2026-03-03,인증,경상북도 영양군 수비면 반딧불이로 227 영양군청소년수련원
44,개별,0018G02B-MD0459,전라북도,N,0,280,0,0,0,280,실내 미션 오리엔티어링(중학교),임실군청소년수련원,2020-03-04,2026-03-03,인증,전북 임실군 관촌면 덕천리 481-10번지
